item_id,date,price_mean_520227,price_p10,price_p50,price_sd,price_p90
520227,01-02-1999,1.8100719,1.25,1.6900001,.72124541,2.8900001
520227,01-03-1999,1.7649651,.66000003,1.6900001,.74733037,2.8900001
520227,01-04-1999,1.8182192,1.3,1.6900001,.72271395,2.8900001
520227,01-05-1999,1.7873288,.66000003,1.6900001,.7234022,2.8900001
520227,01-06-1999,1.834056,1.25,1.75,.71037507,2.8900001
520227,01-07-1999,1.8248966,.66000003,1.75,.74830097,2.8900001
520227,01-08-1999,1.8206041,.66000003,1.75,.71985286,2.8900001
520227,01-09-1999,1.8232214,.66000003,1.75,.75235778,2.99
520227,01-10-1999,1.8413815,.64999998,1.75,.77811629,2.99
520227,01-11-1999,1.8756462,1.25,1.89,.76070267,2.99
520227,01-12-1999,1.8706123,.82999998,1.75,.76522917,2.99
520227,01-01-2000,1.8528966,.64999998,1.75,.76550269,2.99
520227,01-02-2000,1.8437762,.82999998,1.75,.75223684,2.99
520227,01-03-2000,1.8852143,.74000001,1.75,.75985181,2.99
520227,01-04-2000,1.8718243,.64999998,1.75,.75902641,2.99
520227,01-05-2000,1.857619,.64999998,1.6900001,.76235425,2.99
520227,01-06-2000,1.8735374,.64999998,1.75,.76679176,2.99
520227,01-07-2000,1.8975525,.64999998,1.79,.77182442,2.99
520227,01-08-2000,1.884726,.64999998,1.72,.78833318,3.05
520227,01-09-2000,1.9192308,.82999998,1.79,.77784288,3.05
520227,01-10-2000,1.9216083,.82999998,1.79,.77059025,3.05
520227,01-11-2000,1.9465715,.74000001,1.79,.7830385,3.05
520227,01-12-2000,1.9528966,.99000001,1.79,.76931691,3.05
520227,01-01-2001,1.9647222,1.25,1.79,.7670185,3.05
520227,01-02-2001,1.9495775,.82999998,1.79,.78204119,3.05
520227,01-03-2001,1.8944218,.64999998,1.79,.77095395,3.05
520227,01-04-2001,1.9258553,.82999998,1.79,.76317865,3.05
520227,01-05-2001,1.9195426,.64999998,1.79,.79505491,3.1500001
520227,01-06-2001,1.8117419,.81999999,1.75,.79515183,3.1500001
520227,01-07-2001,1.8320383,.82999998,1.75,.83896512,3.1500001
520227,01-08-2001,1.8705298,.82999998,1.75,.8171469,3.1500001
520227,01-09-2001,1.8976282,.82999998,1.755,.82024872,3.1500001
520227,01-10-2001,1.9028302,.82999998,1.79,.80397207,3.1500001
520227,01-11-2001,1.8960127,.82999998,1.79,.820059,3.1500001
520227,01-12-2001,1.9561439,.88999999,1.79,.77273279,3.1500001
520227,01-01-2002,1.9313158,.88999999,1.79,.78377312,3.1500001
520227,01-02-2002,1.9740136,.88999999,1.79,.79469448,3.1500001
520227,01-03-2002,1.9151316,.87,1.79,.79599994,3.1500001
520227,01-04-2002,1.903841,.87,1.79,.820979,3.1500001
520227,01-05-2002,1.941812,.87,1.79,.83849615,3.29
520227,01-06-2002,1.9324,.87,1.79,.83978957,3.29
520227,01-07-2002,1.9308609,.87,1.79,.84146452,3.29
520227,01-08-2002,1.9660131,.87,1.79,.85447842,3.29
520227,01-09-2002,1.9470946,.87,1.79,.83171916,3.29
520227,01-10-2002,1.9332433,.87,1.79,.85053259,3.29
520227,01-11-2002,1.9091157,.87,1.79,.82383746,3.29
520227,01-12-2002,1.862,.87,1.75,.83672661,3.29
520227,01-01-2003,1.8540816,.87,1.79,.86859101,3.29
520227,01-02-2003,1.8732353,.87,1.795,.82849699,3.29
520227,01-03-2003,1.8895683,.87,1.79,.82849163,3.29
520227,01-04-2003,1.9415385,.87,1.85,.85168052,3.29
520227,01-05-2003,1.9435834,.87,1.85,.82420707,3.29
520227,01-06-2003,1.9627731,.86000001,1.85,.8363682,3.29
520227,01-07-2003,1.9679339,.86000001,1.85,.8454988,3.29
520227,01-08-2003,1.96232,.86000001,1.85,.8462528,3.29
520227,01-09-2003,1.99,.85000002,1.85,.9139685,3.29
520227,01-10-2003,2.0098333,.85000002,1.85,.91107285,3.29
520227,01-11-2003,1.8718841,.54000002,1.85,.89439911,2.99
520227,01-12-2003,1.8575863,.85000002,1.85,.87148923,2.99
520227,01-01-2004,1.8619728,.85000002,1.85,.8569144,2.99
520227,01-02-2004,1.8659849,.49000001,1.9200001,.90142453,2.99
520227,01-03-2004,1.825942,.47999999,1.87,.91557539,2.99
520227,01-04-2004,1.817551,.47999999,1.85,.92369688,2.99
520227,01-05-2004,1.7806849,.46000001,1.85,.95353478,2.99
520227,01-06-2004,1.8028572,.49000001,1.85,.93448913,2.99
520227,01-07-2004,1.7517241,.47999999,1.85,.94565111,2.99
520227,01-08-2004,1.7668874,.47999999,1.85,.92999226,2.99
520227,01-09-2004,1.7863309,.43000001,1.85,.95680642,2.99
520227,01-10-2004,1.8562773,.44999999,1.85,.94184351,2.99
520227,01-11-2004,1.7908784,.43000001,1.84,.92217869,2.99
520227,01-12-2004,1.7623684,.43000001,1.8099999,.9057036,2.99
520227,01-01-2005,1.7746358,.47999999,1.83,.90476429,2.99
520227,01-02-2005,1.7636364,.47999999,1.85,.85913533,2.99
520227,01-03-2005,1.7972727,.58999997,1.85,.86016393,2.99
520227,01-04-2005,1.7878473,.49000001,1.85,.87731409,2.99
520227,01-05-2005,1.7101841,.98000002,1.79,.67012203,2.6500001
520227,01-06-2005,1.7920548,.44999999,1.85,.869883,2.99
520227,01-07-2005,1.8161806,.64999998,1.85,.86845171,2.99
520227,01-08-2005,1.8119581,.64999998,1.85,.87320542,2.99
520227,01-09-2005,1.7709523,.49000001,1.85,.87002784,2.99
520227,01-10-2005,1.7590071,.49000001,1.85,.87957162,2.99
520227,01-11-2005,1.7137588,.49000001,1.75,.88378936,2.99
520227,01-12-2005,1.7748951,.79000002,1.79,.85587025,2.99
520227,01-01-2006,1.7621429,.49000001,1.79,.87923265,2.99
520227,01-02-2006,1.7392753,.49000001,1.79,.85135502,2.99
520227,01-03-2006,1.6644056,.38,1.67,.89416152,2.99
520227,01-04-2006,1.6711487,.37,1.6900001,.88905859,2.99
520227,01-05-2006,1.6713423,.38,1.67,.86922199,2.99
520227,01-06-2006,1.6827333,.38,1.67,.87325966,2.99
520227,01-07-2006,1.6090066,.38,1.59,.88412428,2.99
520227,01-08-2006,1.6078523,.38,1.5700001,.87741297,2.99
520227,01-09-2006,1.6479167,.38,1.67,.89063728,2.99
520227,01-10-2006,1.6424667,.34999999,1.63,.88542479,2.99
520227,01-11-2006,1.6366013,.34999999,1.59,.88090503,2.99
520227,01-12-2006,1.6536987,.34999999,1.59,.89933079,2.99
520227,01-01-2007,1.6497827,.34999999,1.585,.88919425,2.99
520227,01-02-2007,1.5924265,.34999999,1.5700001,.82487124,2.99
520227,01-03-2007,1.623913,.34999999,1.5700001,.90035307,2.99
520227,01-04-2007,1.6663768,.34999999,1.5700001,.90122783,2.99
520227,01-05-2007,1.6748611,.38999999,1.74,.87548345,2.99
520227,01-06-2007,1.694965,.49000001,1.74,.87528336,2.99
520227,01-07-2007,1.6864789,.34999999,1.745,.90072173,2.99
520227,01-08-2007,1.6927972,.38999999,1.74,.88279921,2.99
520227,01-09-2007,1.7047917,.38999999,1.74,.87946022,2.99
520227,01-10-2007,1.6804794,.36000001,1.74,.87458551,2.99
520227,01-11-2007,1.6690141,.34999999,1.75,.86161673,2.99
520227,01-12-2007,1.7062044,.38999999,1.74,.88431525,2.99
520227,01-01-2008,1.7044286,.37,1.745,.88681817,2.99
520227,01-02-2008,1.6633793,.34999999,1.74,.87128514,2.99
520227,01-03-2008,1.6863449,.34999999,1.79,.86393869,2.99
520227,01-04-2008,1.6877623,.34999999,1.74,.88886809,2.99
520227,01-05-2008,1.6402128,.34999999,1.74,.88983822,2.99
520227,01-06-2008,1.6520567,.34999999,1.74,.89950585,2.99
520227,01-07-2008,1.690274,.34999999,1.735,.89129734,2.99
520227,01-08-2008,1.6898612,.41999999,1.74,.86164337,2.99
520227,01-09-2008,1.6760417,.34999999,1.735,.90505743,2.99
520227,01-10-2008,1.7131945,.34999999,1.73,.88694704,2.99
520227,01-11-2008,1.7216001,.34999999,1.74,.89404225,2.99
520227,01-12-2008,1.7014788,.47999999,1.7,.86977124,2.99
520227,01-01-2009,1.7216312,.34,1.76,.91588414,2.99
520227,01-02-2009,1.7159055,.34,1.7,.93664068,2.99
520227,01-03-2009,1.7241539,.33500001,1.78,.9258064,2.99
520227,01-04-2009,1.6937143,.345,1.62,.92094439,2.99
520227,01-05-2009,1.6374483,.34999999,1.62,.89574051,2.99
520227,01-06-2009,1.7085518,.41999999,1.6900001,.91971987,2.99
520227,01-07-2009,1.6488816,.34999999,1.62,.92496896,2.99
520227,01-08-2009,1.6871917,.38999999,1.62,.90743273,2.99
520227,01-09-2009,1.6892,.345,1.62,.91748309,2.99
520227,01-10-2009,1.6605228,.34999999,1.62,.90854913,2.99
520227,01-11-2009,1.6429605,.38999999,1.5450001,.90447295,2.99
520227,01-12-2009,1.6422973,.34999999,1.62,.89272046,2.99
520227,01-01-2010,1.6480922,.34999999,1.62,.93083364,2.99
520227,01-02-2010,1.6139568,.38999999,1.62,.90682089,2.99
520227,01-03-2010,1.6470629,.38999999,1.59,.9539125,2.99
520227,01-04-2010,1.6661379,.34999999,1.65,.94676727,2.99
520227,01-05-2010,1.6730137,.34999999,1.64,.92735839,2.99
520227,01-06-2010,1.6295918,.34999999,1.62,.93312031,2.99
520227,01-07-2010,1.5863576,.34999999,1.49,.95205426,2.99
520227,01-08-2010,1.6029801,.34999999,1.63,.93894321,2.99
520227,01-09-2010,1.6330066,.34999999,1.63,.91859096,2.99
520227,01-10-2010,1.6635172,.34999999,1.63,.92223352,2.99
520227,01-11-2010,1.6534437,.34999999,1.63,.94742674,2.99
520227,01-12-2010,1.6670001,.34999999,1.6700001,.95389259,2.99
520227,01-01-2011,1.7024667,.35500002,1.7,.96428567,2.99
520227,01-02-2011,1.6499316,.34999999,1.66,.90250033,2.99
520227,01-03-2011,1.6939007,.34999999,1.6900001,.93403029,2.99
520227,01-04-2011,1.6487499,.34999999,1.59,.92023343,2.99
520227,01-05-2011,1.687651,.36000001,1.61,.90813172,2.99
520227,01-06-2011,1.6900001,.38999999,1.53,.93742508,2.99
520227,01-07-2011,1.7575001,.36000001,1.775,.89731556,2.99
520227,01-08-2011,1.7654605,.36000001,1.79,.89429826,2.99
520227,01-09-2011,1.8028001,.375,1.89,.88778973,2.99
520227,01-10-2011,1.700861,.38999999,1.58,.93390077,2.99
520227,01-11-2011,1.6092715,.34999999,1.59,.88781911,2.99
520227,01-12-2011,1.6697369,.34999999,1.575,.90475196,2.99
520227,01-01-2012,1.723125,.34999999,1.76,.90169185,2.99
520227,01-02-2012,1.6404285,.38999999,1.665,.89691389,2.99
520227,01-03-2012,1.6354605,.38999999,1.55,.88466167,2.99
520227,01-04-2012,1.62,.38999999,1.55,.85740626,2.99
520227,01-05-2012,1.5868027,.38999999,1.59,.88511121,2.99
520227,01-06-2012,1.6167114,.31,1.55,.87147546,2.99
520227,01-07-2012,1.6945206,.38999999,1.65,.85118264,2.99
520227,01-08-2012,1.6384968,.38999999,1.55,.84347868,2.99
520227,01-09-2012,1.6864383,.38999999,1.6700001,.9102813,2.99
520227,01-10-2012,1.6472186,.38999999,1.65,.89039552,2.99
520227,01-11-2012,1.6263194,.38999999,1.795,.88189459,2.99
520227,01-12-2012,1.6363945,.38999999,1.59,.88855737,2.99
520227,01-01-2013,1.6176159,.34999999,1.61,.88600808,2.99
520227,01-02-2013,1.4891045,.34999999,1.5,.82927132,2.3
520227,01-03-2013,1.5478102,.31999999,1.5,.8617149,2.3499999
520227,01-04-2013,1.5410792,.31999999,1.5,.8829034,2.49
520227,01-05-2013,1.5813571,.33499998,1.5,.84578449,2.3249998
520227,01-06-2013,1.7541217,.31999999,1.72,1.031544,3.8
520227,01-07-2013,1.7025166,.31999999,1.7,1.0524348,3.8
520227,01-08-2013,1.7393507,.33000001,1.5799999,1.0490261,3.8
520227,01-09-2013,1.7281333,.33000001,1.55,1.0573903,3.8
520227,01-10-2013,1.7446622,.33000001,1.6,1.0166795,3.8
520227,01-11-2013,1.705302,.33000001,1.6,1.052629,3.8
520227,01-12-2013,1.6899999,.33000001,1.58,1.0279412,3.6500001
520227,01-01-2014,1.747902,.33000001,1.6,1.0157013,3.8
520227,01-02-2014,1.7407143,.33000001,1.62,1.0404265,3.8
520227,01-03-2014,1.7297902,.33000001,1.64,1.0399326,3.79
520227,01-04-2014,1.6677333,.33000001,1.6,1.0442853,3.8
520227,01-05-2014,1.7322297,.33000001,1.6,1.024973,3.8
520227,01-06-2014,1.7552348,.33000001,1.65,1.0061544,3.8
520227,01-07-2014,1.8020139,.33000001,1.75,1.0154626,3.8
520227,01-08-2014,1.7827778,.33000001,1.72,1.0429909,3.8
520227,01-09-2014,1.7390909,.33000001,1.6,1.0556901,3.8
520227,01-10-2014,1.7150685,.33000001,1.6,.98934966,3.49
520227,01-11-2014,1.6817242,.34999999,1.6,1.0080373,3.49
520227,01-12-2014,1.6569333,.33000001,1.45,1.0057439,3.49
520227,01-01-2015,1.7289262,.33000001,1.65,.9975403,3.49
520227,01-02-2015,1.7098582,.33000001,1.49,1.0196974,3.49
520227,01-03-2015,1.7288591,.33000001,1.65,.99643791,3.49
520227,01-04-2015,1.7002548,.33000001,1.49,.99014306,3.49
520227,01-05-2015,1.7226924,.33000001,1.49,.99781722,3.49
520227,01-06-2015,1.6363695,.30000001,1.5,.97579694,3.49
520227,01-07-2015,1.7303947,.30000001,1.5,1.0230877,3.55
520227,01-08-2015,1.699091,.30000001,1.495,1.0714625,3.55
520227,01-09-2015,1.7296731,.34999999,1.5,1.1002376,3.55
520227,01-10-2015,1.717436,.30000001,1.5,1.0933393,3.55
520227,01-11-2015,1.621457,.34999999,1.5,.98313469,3.55
520227,01-12-2015,1.6325625,.34999999,1.5,.97833979,3.49
520227,01-01-2016,1.7287582,.34999999,1.5,.98835677,3.55
520227,01-02-2016,1.7648592,.34999999,1.7950001,.98639667,3.55
520227,01-03-2016,1.727,.34999999,1.7950001,1.008476,3.55
520227,01-04-2016,1.7626846,.34999999,1.95,.98390949,3.55
520227,01-05-2016,1.7528477,.34999999,1.9,.9899888,3.55
520227,01-06-2016,1.7599338,.34999999,1.6900001,.96783161,3.55
520227,01-07-2016,1.8403311,.44999999,1.99,.97666192,3.55
520227,01-08-2016,1.7769481,.44999999,1.845,.96596479,3.55
520227,01-09-2016,1.7723899,.41999999,1.72,.97685844,3.5899999
520227,01-10-2016,1.7959615,.41999999,1.7,.98832524,3.5899999
520227,01-11-2016,1.7569032,.34999999,1.65,.96485215,3.55
520227,01-12-2016,1.7329299,.34999999,1.65,.99028373,3.5899999
520227,01-01-2017,1.8062581,.38999999,1.98,.99660796,3.5899999
520227,01-02-2017,1.6911259,.34999999,1.65,.97688997,3
520227,01-03-2017,1.7195206,.30000001,1.6900001,1.011848,3.5899999
520227,01-04-2017,1.7350327,.34999999,1.65,.96773207,3.05
520227,01-05-2017,1.7747402,.34999999,1.8,1.004205,3.5899999
520227,01-06-2017,1.7615173,.30000001,1.98,1.002141,3.5899999
520227,01-07-2017,1.7650993,.38999999,1.7,.97079819,3.05
520227,01-08-2017,1.7001911,.34999999,1.7,.95242637,3
520227,01-09-2017,1.7579739,.38999999,1.8,.99613291,3
520227,01-10-2017,1.7535294,.38999999,1.7,1.0215826,3.6700001
520227,01-11-2017,1.7807742,.38999999,1.78,1.0336775,3.6700001
520227,01-12-2017,1.7614936,.41999999,1.7,1.0229764,3.6700001
520227,01-01-2018,1.8225676,.38999999,1.95,1.0470647,3.8900001
520227,01-02-2018,1.7194285,.37,1.72,1.0353729,3.375
520227,01-03-2018,1.7271053,.34999999,1.7,1.0436174,3.5
520227,01-04-2018,1.7843262,.30000001,1.9,1.0673193,3.5
520227,01-05-2018,1.7595946,.30000001,1.75,1.0500767,3.8900001
520227,01-06-2018,1.72649,.34999999,1.75,1.049412,3.55
520227,01-07-2018,1.7463087,.28999999,1.7,1.0471076,3.8900001
520227,01-08-2018,1.7973648,.30000001,1.875,1.0743607,3.8900001
520227,01-09-2018,1.7954304,.34999999,1.8,1.0670594,3.8900001
520227,01-10-2018,1.8171711,.34999999,1.75,1.1118438,3.8900001
520227,01-11-2018,1.827,.34999999,1.8,1.1058112,3.8900001
520227,01-12-2018,1.7794771,.34999999,1.7,1.0823609,3.8900001
520227,01-01-2019,1.7947973,.34999999,1.72,1.0758142,3.8900001
520227,01-02-2019,1.7909155,.34999999,1.7,1.0936632,3.8900001
520227,01-03-2019,1.774698,.34999999,1.6900001,1.0711162,3.8900001
520227,01-04-2019,1.7637663,.34999999,1.7,1.0928754,3.8900001
520227,01-05-2019,1.7892568,.30000001,1.7,1.101374,3.8900001
520227,01-06-2019,1.8591334,.32499999,1.825,1.0904368,3.8900001
520227,01-07-2019,1.8364239,.34999999,1.98,1.1092083,3.8900001
520227,01-08-2019,1.844079,.40000001,1.8,1.0774463,3.8900001
520227,01-09-2019,1.8838,.40000001,1.875,1.0621649,3.8900001
520227,01-10-2019,1.867027,.40000001,1.775,1.0534256,3.8900001
520227,01-11-2019,1.8968,.44499999,1.85,1.0398085,3.8900001
520227,01-12-2019,1.8632001,.39499998,1.75,1.0685707,3.8900001
520227,01-01-2020,1.8653793,.40000001,1.9,1.0685173,3.8900001
520227,01-02-2020,1.8787787,.40000001,1.85,1.1071008,3.8900001
520227,01-03-2020,2.2545834,.5,2.1900001,1.1048586,3.8900001
520227,01-04-2020,2.1388776,.49000001,2,1.1940262,3.8900001
520227,01-05-2020,2.0324299,.49000001,2,.99748915,3.8900001
520227,01-06-2020,2.0150909,.49000001,1.95,1.062669,3.8900001
520227,01-07-2020,2.077544,.49000001,2,1.3014394,3.8900001
520227,01-08-2020,1.9019009,.49000001,1.7,1.0098649,3.8900001
520227,01-09-2020,1.916378,.49000001,1.8,1.0291102,3.8900001
520227,01-10-2020,2.013077,.51999998,1.89,1.0626922,3.8900001
520227,01-11-2020,1.9847223,.49000001,1.7,1.1019264,3.8900001
520227,01-12-2020,2.0169444,.49000001,1.8,1.1140307,3.8900001
520227,01-01-2021,1.9070085,.49000001,1.75,1.123615,3.8900001
520227,01-02-2021,1.8668067,.44999999,1.79,1.1375412,3.8900001
520227,01-03-2021,1.8716394,.49000001,1.7,1.1238918,3.8900001
520227,01-04-2021,1.9003333,.49000001,1.7,1.1235867,3.8900001
520227,01-05-2021,1.8861017,.49000001,1.725,1.0758412,3.8900001
520227,01-06-2021,2.0651724,.49000001,1.89,1.2556052,3.8900001
520227,01-07-2021,1.9917606,.49000001,1.8,1.2917712,3.8900001
520227,01-08-2021,1.9629861,.49000001,1.75,1.1195461,3.8900001
520227,01-09-2021,2.0369232,.49000001,1.845,1.3624777,3.8900001
